ID	schoolname	qsstars	overall	academic	employer	faculty	international	internationalstudents	citations	arts	engineering	life	natural	social
506	City University of New York		0	48.8	0	0	0	0	0	62.7	0	57.6	62.9	60.8
507	College of William & Mary		0	0	43.6	46.8	0	0	30.2	40.2	0	0	0	0
508	Dublin Institute of Technology		0	0	0	42.7	45.4	75.7	0	0	0	0	0	0
509	Huazhong University of Science and Technology		0	0	0	62.1	0	0	0	0	65.9	52	59.1	0
510	International Islamic University Malaysia (IIUM)		0	0	0	0	56.3	78.7	0	0	0	0	0	0
511	Johannes Kepler University Linz		0	0	0	0	84.5	37.8	0	0	57.9	0	60.1	0
512	Justus-Liebig-Universität Gießen		0	0	0	0	26.3	0	42.6	0	0	61.6	0	0
513	Kanazawa University		0	0	0	0	0	0	55.9	0	0	57.3	0	0
514	Keele University 		0	0	0	0	64.4	70.4	36.9	0	0	0	0	0
515	Koc University 		0	0	40.6	0	65.9	0	0	0	0	0	0	0
516	Louisiana State University		0	0	0	0	0	0	71	0	0	52.8	0	0
517	National and Kapodistrian University of Athens		0	0	41.6	0	0	0	49.7	46.8	57.2	63.1	61.5	53
518	National Research University – Higher School of Economics (HSE)	3	0	0	0	90	0	0	0	0	0	0	0	0
519	National Technical University of Athens		0	0	59.7	0	0	0	34.1	0	71.1	0	65.7	0
520	Okayama University		0	0	0	74.1	0	0	34.7	0	0	52.6	0	0
521	Sabanci University		0	0	0	46.9	40.8	0	0	0	0	0	0	0
522	Southeast University		0	0	0	51.8	0	0	0	0	61.8	0	0	0
523	Sultan Qaboos University		0	0	0	63.9	100	0	0	0	0	0	0	0
524	Technische Universität Braunschweig		0	0	0	45.9	0	34.8	0	0	63.3	0	58.6	0
525	Technische Universität Dortmund		0	0	45.2	0	0	34.6	0	0	63.8	0	63.5	0
526	The Catholic University of Korea 		0	0	0	90.5	0	0	0	0	0	0	0	0
527	Tianjin University		0	0	39.7	44.2	0	0	0	38.1	68.3	0	59.1	0
528	Tokyo Metropolitan University		0	0	0	0	0	0	60.7	0	0	0	58.7	0
529	Universidad de Antioquia		0	38.8	0	0	0	0	0	0	0	0	0	0
530	University of Granada		0	41.2	0	0	0	30.9	0	58.5	59.5	55.7	62.8	57
531	Universidad de Palermo		0	0	42	47.3	40.3	91.3	0	0	0	0	0	0
532	Universidad Nacional de Córdoba		0	48.6	46.6	0	0	0	0	0	0	0	0	53.2
533	Universidade de Santiago de Compostela		0	33	0	0	0	0	31.4	47.1	0	58.7	57.7	53.6
534	Universidade Federal do Rio Grande Do Sul		0	39	0	0	0	0	0	43.8	60.3	54.2	0	56.3
535	University of Siena		0	0	0	0	0	0	65.8	48.8	0	55.6	0	0
536	University of Trieste		0	0	0	0	0	0	66.4	47.1	0	0	61.8	0
537	Universitas Gadjah Mada		0	42.4	39.6	0	0	0	0	0	0	0	0	0
538	Université de Lorraine 		0	0	0	44	0	49.2	0	0	57	0	0	0
539	Université de Rennes 1		0	0	0	0	0	36.8	0	0	0	0	0	0
540	University of Alabama		0	0	0	0	40.7	0	56.6	0	0	60	0	0
541	University of Bradford		0	0	0	0	54.2	93.4	0	0	0	0	0	53.6
542	University of Hull		0	0	0	0	69.1	70.1	32.7	40.1	0	0	0	0
543	University of Kwazulu-Natal		0	0	0	0	81.6	0	0	44.1	0	52.2	0	0
544	University of Limerick	4	0	0	48.5	0	95.4	0	0	0	58.8	0	0	55.1
545	University of South Florida	4	0	0	0	0	35.2	0	67.8	0	0	63.5	0	0
546	University of Stirling		0	0	0	0	80.7	71.8	0	43.6	0	0	0	55
547	University of Szeged		0	0	0	42.4	0	0	0	0	0	54.2	0	0
548	University of Vermont		0	0	0	60.3	0	0	48.9	0	0	59	0	0
549	Ural Federal University 		0	0	0	93.6	0	0	0	0	0	0	0	0
550	Xiamen University		0	32.6	0	0	0	0	0	0	0	53.4	62.9	55.1
551	Yokohama City University		0	0	0	99.2	0	0	0	0	0	0	0	0
552	Aberystwyth University		0	0	0	0	62.8	60.7	0	44.8	0	0	0	0
553	Belarus State University		0	0	0	73.6	0	0	0	0	0	0	0	0
554	Cairo University		0	42.4	56.5	0	0	0	0	0	60.5	53.8	0	55.8
555	Chiang Mai University		0	0	0	0	0	0	0	0	0	0	0	54.9
556	Chonbuk National University		0	0	0	48.7	0	0	0	0	0	0	59.1	0
557	Eötvös Loránd University   		0	0	0	0	0	0	0	0	0	0	60.1	0
558	Inha University		0	0	0	69	0	0	0	0	0	0	0	0
559	Instituto Politécnico Nacional (IPN)		0	0	49.2	42.8	0	0	0	0	58.6	0	58.7	0
560	Istanbul Technical University		0	0	52.7	0	0	0	0	0	64.9	0	62.2	0
561	Kumamoto University		0	0	0	50.5	0	0	35.6	0	0	55.9	0	0
562	Kyungpook National University		0	0	0	0	0	0	0	0	0	0	0	0
563	Lehigh University		0	0	0	42.6	0	49.7	42	0	0	0	0	0
564	Lingnan University (Hong Kong)		0	0	0	46.3	100	51.3	0	0	0	0	0	0
565	Masaryk University		0	0	0	0	25.6	57.2	0	47.6	0	0	0	0
566	Michigan Technological University		0	0	0	43.7	30.1	50.4	0	0	61.3	0	0	0
567	Murdoch University	3	0	0	0	0	89.5	48.1	0	0	0	0	0	0
568	Nagasaki University		0	0	0	84.1	0	0	0	0	0	52	0	0
569	National Chung Hsing University		0	0	0	0	0	0	42.6	0	59.1	0	59.6	0
570	National Taipei University of Technology		0	0	0	52.4	0	0	0	0	0	0	0	0
571	National University of Ireland Maynooth		0	0	0	0	81.6	0	0	0	0	0	0	0
572	New Jersey Institute of Technology (NJIT)		0	0	0	92.1	0	61.3	0	0	0	0	0	0
573	New School University		0	0	0	61.9	0	90.6	0	0	0	0	0	0
574	Osaka City University		0	0	0	0	0	0	57.5	0	0	0	0	0
575	Pontificia Universidad Católica del Perú		0	39.7	0	0	0	0	0	0	0	0	0	0
576	Pontificia Universidade Católica de São Paulo (PUC -SP)		0	0	51.4	52.6	0	0	0	0	0	0	0	0
577	Pontificia Universidade Católica do Rio de Janeiro (PUC - Rio)		0	38.2	0	0	0	0	0	0	0	0	0	55.5
578	Qatar University		0	0	0	0	100	99.9	0	0	0	0	0	0
579	Rhodes University 		0	0	0	0	0	80.9	39.1	40.7	0	0	0	0
580	Rutgers - The State University of New Jersey. Newark		0	0	0	0	0	0	0	0	0	0	0	0
581	Temple University		0	0	0	0	0	0	0	49.7	0	58.4	0	52.9
582	Tokyo University of Agriculture and Technology 		0	0	0	0	0	0	38	0	0	0	0	0
583	Tomsk Polytechnic University		0	0	0	75.3	0	41.2	0	0	0	0	0	0
584	Tomsk State University		0	0	0	58.2	0	0	0	0	0	0	0	0
585	Umm Al-Qura University 		0	0	0	66	98.3	0	0	0	0	0	0	0
586	Universidad Católica Andrés Bello - UCAB		0	34.5	45	0	0	0	0	0	0	0	0	0
587	Universidad Central de Venezuela - UCV		0	33.3	45.5	0	0	0	0	0	0	0	0	0
588	Universidad de Belgrano		0	0	0	41.6	0	78.4	0	0	0	0	0	0
589	Universidad de Concepción		0	34.2	39.7	0	0	0	0	0	0	0	0	0
590	Universidad de Sevilla		0	39.9	0	0	0	0	0	52.5	61.1	52.8	59.8	0
591	Universidade Catolica Portuguesa. Lisboa		0	0	50.8	43.2	0	0	0	0	0	0	0	60.3
592	Universidade de Brasilia (UnB)		0	32.6	0	0	28.1	0	0	0	0	0	0	54.5
593	University of Houston		0	0	0	0	0	0	40.2	39.6	63.3	53.7	62.5	0
594	University of Lisbon 		0	35.5	0	0	0	0	0	49.1	0	0	0	0
595	University of Ljubljana		0	0	0	0	0	0	0	39.3	0	54.1	0	54
596	University of New Hampshire		0	0	0	61.2	0	0	30.7	0	0	0	0	0
597	University of Oregon		0	0	0	0	41.2	0	0	42.9	0	52.9	0	0
598	University of Seoul 		0	0	0	45.8	0	0	0	0	0	0	0	0
599	University of South Carolina		0	0	0	0	0	0	0	45.1	57.4	52	61.5	0
600	Virginia Commonwealth University		0	0	0	49.7	0	0	44.9	0	0	60.8	0	0
601	Abu Dhabi University		0	0	0	0	100	100	0	0	0	0	0	0
602	Ain Shams University 		0	0	50.9	0	0	0	0	0	57.8	0	0	0
603	Ajou University 		0	0	0	71.8	0	0	0	0	0	0	0	0
604	De La Salle University		0	0	59.7	0	0	0	0	0	0	0	0	0
605	Dongguk University 		0	0	0	59	24.7	32.7	0	0	0	0	0	0
606	George Mason University		0	0	0	54.5	0	0	0	0	0	0	0	55.9
607	Gifu University		0	0	0	77.4	0	0	0	0	0	0	0	0
608	Hacettepe University 		0	0	0	49.9	0	0	0	0	0	53.5	0	0
609	Howard University		0	0	0	66	0	0	0	0	0	0	0	0
610	Indian Institute of Technology Guwahati (IITG)		0	0	0	0	0	0	33.1	0	61.3	0	0	0
611	Jilin University		0	0	0	50.3	0	0	0	0	58.5	0	63.1	0
612	Kazan Federal University		0	0	0	57.7	0	0	0	0	0	0	0	0
613	King Khalid University		0	0	0	0	100	0	0	0	0	0	0	0
614	Loyola University Chicago		0	0	0	0	0	0	43	40.4	0	56.7	0	0
615	Martin-Luther-Universität Halle-Wittenberg		0	0	0	0	33.3	0	0	0	0	0	0	0
616	Memorial University of Newfoundland		0	0	0	47.7	0	0	0	40.6	0	0	0	0
617	Missouri University of Science and Technology		0	0	0	0	78.2	51.3	35.5	0	0	0	0	0
618	National Chengchi University	4	0	0	0	0	0	0	0	0	0	0	0	61.3
619	"National Technical University of Ukraine ""Kyiv Polytechnic Institute"""		0	0	0	69.2	0	0	0	0	0	0	0	0
620	Niigata University		0	0	0	69.8	0	0	0	0	0	0	0	0
621	Oklahoma State University 		0	0	0	0	48.9	0	33.6	0	0	0	0	0
622	Osaka Prefecture University 		0	0	0	61	0	0	0	0	0	0	0	0
623	Paris Lodron University of Salzburg		0	0	0	0	0	93.5	0	0	0	0	0	0
624	Sharif University of Technology		0	0	0	0	0	0	47.7	0	0	0	0	0
625	Smith College		0	0	0	63	0	0	0	0	0	0	0	0
626	Southern Federal University		0	0	0	79.1	0	0	0	0	0	0	0	0
627	Syracuse University		0	0	0	0	0	51.8	0	40.5	0	0	0	56
628	Thammasat University		0	0	42.7	0	0	0	0	0	58.3	0	0	61.5
629	Universidad de Guadalajara (UDG)		0	0	0	59.5	0	0	0	0	0	0	0	0
630	Universidad de la República (UdelaR)		0	0	0	0	0	0	0	0	0	0	0	0
631	Universidad Iberoamericana (UIA)		0	0	50.8	0	0	0	0	0	0	0	0	0
632	Universidad Torcuato Di Tella		0	0	40.6	0	36.7	0	0	0	0	0	0	0
633	Universidade Federal da Bahia		0	0	0	79.9	0	0	0	0	0	0	0	0
634	Universidade Federal de São Carlos		0	0	0	45.3	0	0	0	0	0	0	0	0
635	Universidade Federal de Viçosa		0	0	0	82.2	0	0	0	0	0	0	0	0
636	Perugia University		0	0	0	0	0	0	55.8	0	0	55.8	0	0
637	Université de Nantes		0	0	0	0	0	34.9	0	0	0	53.2	0	0
638	Université Saint-Joseph de Beyrouth		0	0	0	92.9	0	0	0	0	0	0	0	0
639	University at Albany SUNY		0	0	0	0	0	0	48.4	0	0	0	0	0
640	University of Canberra 		0	0	0	0	0	60.2	0	0	0	0	0	0
641	University of Debrecen		0	0	0	0	0	0	0	0	0	55.5	0	0
642	University of Johannesburg 		0	0	39.8	0	29	0	0	44.2	0	0	0	0
643	University of Mumbai		0	0	54.7	0	0	0	50.6	0	0	0	0	0
644	University of Patras		0	0	0	0	0	0	42.4	0	63.8	0	58.4	0
645	University of Tehran		0	0	42.7	0	0	0	0	0	0	0	0	0
646	University of Ulsan 		0	0	0	66.8	0	0	0	0	0	0	0	0
647	University of Ulster		0	0	0	0	95.9	0	0	0	0	0	0	0
648	University of Zagreb		0	0	0	53.4	0	0	0	41.4	0	0	0	0
649	Vilnius University 		0	0	0	58.3	0	0	0	0	0	0	0	0
650	Warsaw University of Technology		0	0	52	0	0	0	0	0	66.1	0	59.5	0
651	Worcester Polytechnic Institute		0	0	0	0	24.3	70.3	0	0	0	0	0	0
652	Al Azhar University 		0	0	0	50.3	0	0	0	0	0	0	0	0
653	Bar-Ilan University		0	0	0	0	47.3	0	0	0	0	0	0	0
654	Brno University of Technology		0	0	44.1	0	31.1	43.7	0	0	58.8	0	0	0
655	Chonnam National University		0	0	0	50.2	0	0	0	0	0	0	0	0
656	Chungnam National University		0	0	0	43.6	0	0	0	0	0	0	0	0
657	Clark University		0	0	0	0	0	74.4	0	0	0	0	0	0
658	Clarkson University		0	0	0	0	42.4	0	40.5	0	0	0	0	0
659	Corvinus University of Budapest		0	0	63.8	0	0	31.3	0	0	0	0	0	0
660	Gunma University		0	0	0	53.5	0	0	38.2	0	0	0	0	0
661	Hallym University 		0	0	0	75.3	0	0	0	0	0	0	0	0
662	Instituto Tecnológico Autonomo de México (ITAM)		0	0	46.9	0	0	0	0	0	0	0	0	0
663	Istanbul University		0	0	0	0	0	0	0	0	0	56.3	0	0
664	Jordan University of Science & Technology	3	0	0	48.6	0	0	81.3	0	0	58	0	0	0
665	Kasetsart University		0	33.1	0	0	0	0	0	0	57.3	0	0	53
666	Kazakh-British Technical University		0	0	0	52.3	39.6	0	0	0	0	0	0	0
667	Khazar University		0	0	0	46.9	44.4	30.7	0	0	0	0	0	0
668	London Metropolitan University		0	0	0	0	75.4	99.8	0	0	0	0	0	0
669	Middlesex University		0	0	0	0	84.5	99.7	0	0	0	0	0	0
670	Pontificia Universidad Católica de Valparaíso		0	0	42.4	0	0	0	0	0	0	0	0	0
671	Pontificia Universidade Católica do Rio Grande do Sul		0	0	0	49.5	0	0	0	0	0	0	0	0
672	Qafqaz University 		0	0	0	0	62.2	40.3	0	0	0	0	0	0
673	Ritsumeikan University		0	0	0	0	41.2	0	0	0	0	0	0	0
674	Shandong University		0	0	0	0	0	0	0	39.6	57.5	0	62.5	0
675	University of St. Kliment Ohridski		0	0	0	52.3	0	0	0	0	0	0	0	0
676	South Kazakhstan State University (SKSU)		0	0	0	70.9	0	0	0	0	0	0	0	0
677	Southern Methodist University		0	0	0	49.7	0	31.8	0	0	0	0	0	0
678	Universidad Adolfo Ibáñez		0	0	63.1	0	25	0	0	0	0	0	0	0
679	Universidad Autónoma del Estado de México		0	0	0	0	0	0	0	0	0	0	0	0
680	Universidad Autónoma Metropolitana (UAM)		0	0	0	0	0	0	0	0	0	0	0	0
681	Universidad de Alcalá	4	0	0	0	0	0	46.2	0	0	0	0	0	0
682	Universidad Nacional Costa Rica		0	0	0	0	0	0	0	0	0	0	0	0
683	Universidad Nacional de Mar del Plata		0	0	0	0	0	0	0	0	0	0	0	0
684	Universidad Peruana Cayetano Heredia		0	0	0	54.7	0	0	0	0	0	0	0	0
685	Universidad Simón Bolívar Venezuela		0	0	0	0	0	0	0	0	0	0	0	0
686	Universidade Federal de Santa Catarina		0	0	0	0	0	0	0	39.1	0	0	0	0
687	Universidade Federal do Paraná (UFPR)		0	0	0	51	0	0	0	0	0	0	0	0
688	Universidade Federal Fluminense		0	0	0	54.3	0	0	0	40	0	0	0	0
689	University of Modena		0	0	0	0	0	0	42.4	0	0	0	0	0
690	Université Lumière Lyon 2		0	0	0	0	29	46.7	0	0	0	0	0	0
691	Université Toulouse 1. Capitole		0	0	0	0	58.8	57.4	0	0	0	0	0	0
692	University of Denver		0	0	0	48.5	0	0	0	0	0	0	0	0
693	University of Economics Prague 		0	0	60.3	0	100	54.8	0	0	0	0	0	0
694	University of Hertfordshire		0	0	0	0	39.9	88.8	0	0	0	0	0	0
695	University of Plymouth		0	0	0	0	42.7	38.2	0	38.3	0	0	0	0
696	University of Salford		0	0	0	0	33.8	82.7	0	0	0	0	0	0
697	University of Science and Technology Beijing		0	0	0	0	0	0	0	0	0	0	60.6	0
698	University of Western Sydney 		0	0	0	0	0	30.4	0	48.7	0	0	0	53.6
699	Yamaguchi University 		0	0	0	72.6	0	0	0	0	0	0	0	0
700	Yokohama National University		0	0	0	0	0	0	0	0	0	0	0	0
701	Airlangga University	2	0	0	0	0	0	0	0	0	0	0	0	0
702	Alexandria University 		0	0	0	0	0	0	0	0	57.5	0	0	0
703	Alexandru Ioan Cuza University		0	0	0	0	32.5	0	0	0	0	0	0	0
704	Alpen-Adria-Universität Klagenfurt 		0	0	0	0	69.4	49.1	0	0	0	0	0	0
705	Aoyama Gakuin University		0	0	0	0	0	0	0	0	0	0	0	0
706	Athens University of Economy And Business		0	0	55.8	0	0	0	0	0	0	0	0	58.4
707	Auburn University		0	0	0	0	0	0	0	0	0	0	0	0
708	Babes-Bolyai University		0	0	0	0	0	0	0	0	0	0	0	0
709	Baku State University		0	0	0	43.6	0	0	0	0	0	0	0	0
710	Baylor University		0	0	0	0	0	0	31.7	0	0	0	0	0
711	Belarusian National Technical University		0	0	0	0	0	0	0	0	0	0	0	0
712	Benemérita Universidad Autónoma de Puebla		0	0	0	0	0	0	0	0	0	0	0	0
713	Binghamton University SUNY		0	0	0	0	0	46.2	0	38.5	0	0	0	0
714	Bogor Agricultural University	2	0	0	0	0	0	0	0	0	0	0	0	0
715	Brigham Young University		0	0	0	0	0	0	0	40.2	0	0	0	0
716	Clemson University		0	0	0	0	0	0	33.6	0	0	0	0	0
717	Coventry University		0	0	0	0	41.6	96.7	0	0	0	0	0	0
718	Cukurova University		0	0	0	0	0	0	0	0	0	0	0	0
719	Diponegoro University	2	0	0	0	0	0	0	0	0	0	0	0	0
720	Donetsk National University		0	0	0	49.8	0	0	0	0	0	0	0	0
721	Doshisha University		0	0	0	0	23.5	0	0	0	0	0	0	0
722	E.A.Buketov Karaganda State University 		0	0	0	0	0	0	0	0	0	0	0	0
723	Far Eastern Federal University		0	0	0	50.5	0	0	0	0	0	0	0	0
724	Fordham University		0	0	0	0	0	0	0	42.6	0	0	0	0
725	Fu Jen Catholic University		0	0	0	0	0	0	0	0	0	0	0	0
726	Georgia State University		0	0	0	0	0	0	0	42.5	0	0	0	59.1
727	Kagoshima University		0	0	0	50.2	0	0	0	0	0	0	0	0
728	Kaunas University of Technology		0	0	0	0	0	0	0	0	0	0	0	0
729	Kazakh Ablai khan University of International Relations and World Languages		0	0	0	47.7	0	0	0	0	0	0	0	0
730	Kazakh National Pedagogical University Abai		0	0	0	53	0	0	0	0	0	0	0	0
731	Kazakh National Technical University 		0	0	0	58.4	0	0	0	0	0	0	0	0
732	Khon Kaen University		0	0	0	0	0	0	0	0	0	0	0	0
733	King Faisal University		0	0	0	0	0	0	0	0	0	0	0	0
734	King Mongkut's University of Technology Thonburi 		0	0	0	0	0	0	0	0	61.5	0	0	0
735	Kuwait University		0	0	0	0	66.8	37.2	0	0	0	0	0	0
736	Lodz University		0	0	0	0	0	0	0	0	0	0	0	0
737	Manchester Metropolitan University		0	0	0	0	38.7	48.6	0	40.3	0	0	0	0
738	Marquette University		0	0	0	48.2	0	0	0	0	0	0	0	0
739	Miami University		0	0	0	0	0	0	0	43.9	0	0	0	0
740	Lobachevsky State University of Nizhni Novgorod	3	0	0	0	0	0	0	0	0	0	0	0	0
741	"National Technical University ""Kharkiv Polytechnic Institute"""		0	0	0	0	0	0	0	0	0	0	0	0
742	Nicolaus Copernicus University 		0	0	0	50.7	0	0	0	0	0	0	0	0
743	Northumbria University at Newcastle		0	0	45.7	0	35.1	56	0	42.6	0	0	0	0
744	Nottingham Trent University		0	0	0	0	33.8	59.7	0	0	0	0	0	0
745	Ochanomizu University		0	0	0	0	0	0	0	0	0	0	0	0
746	Ohio University		0	0	0	0	0	0	0	0	0	0	0	0
747	Plekhanov Russian University of Economics		0	0	0	46.1	0	0	0	0	0	0	0	0
748	Pontificia Universidad Catolica del Ecuador		0	0	0	0	0	0	0	0	0	0	0	0
749	Prince of Songkla University		0	0	0	0	0	0	0	0	0	0	0	0
750	Ryerson University		0	0	0	0	0	0	38.9	0	0	0	0	0
751	S.Seifullin Kazakh Agro Technical University		0	0	0	41.8	0	94.2	0	0	0	0	0	0
752	Saitama University		0	0	0	0	0	0	33.9	0	0	0	0	0
753	Sepuluh Nopember Institute of Technology	2	0	0	0	0	0	0	0	0	0	0	0	0
754	Shinshu University 		0	0	0	0	0	0	34.3	0	0	0	0	0
755	Stevens Institute of Technology		0	0	0	0	0	87.7	0	0	0	0	0	0
756	The Robert Gordon University		0	0	0	0	47.1	80.7	0	0	0	0	0	0
757	Tokai University		0	0	0	0	0	0	0	0	0	0	0	0
758	Universidad ANAHUAC		0	0	0	42.9	0	0	0	0	0	0	0	0
759	Universidad Austral de Chile		0	0	0	0	0	0	0	0	0	0	0	0
760	University Autónoma de Nuevo León (UANL)	3	0	0	0	0	0	0	0	0	0	0	0	0
761	Universidad de la Habana		0	33.2	0	0	0	0	0	0	0	0	0	0
762	Universidad de La Sabana		0	0	50.5	0	0	0	0	0	0	0	0	0
763	Universidad de las Américas Puebla (UDLAP)		0	0	0	0	41.6	0	0	0	0	0	0	0
764	Universidad de los Andes Mérida		0	0	0	0	0	0	0	0	0	0	0	0
765	University of Murcia		0	0	0	0	0	0	0	0	0	0	0	0
766	Universidad de Puerto Rico		0	0	0	0	0	0	0	0	0	0	0	0
767	Universidad de San Francisco de Quito	3	0	0	0	0	49.2	0	0	0	0	0	0	0
768	Universidad de Talca		0	0	0	0	0	0	0	0	0	0	0	0
769	Universidad del Norte		0	0	0	0	0	0	0	0	0	0	0	0
770	Universidad del Rosario		0	0	52	0	0	0	0	0	0	0	0	0
771	Universidad del Valle		0	0	0	0	0	0	0	0	0	0	0	0
772	Universidad Industrial de Santander		0	0	0	0	0	0	0	0	0	0	0	0
773	Universidad Nacional de Cuyo		0	0	0	0	0	0	0	0	0	0	0	0
774	Universidad Nacional de Rosario		0	0	0	0	0	0	0	0	0	0	0	0
775	Universidad Nacional de Tucumán		0	0	0	0	0	0	0	0	0	0	0	0
776	Universidad Nacional del Sur		0	0	0	0	0	0	0	0	0	0	0	0
777	Universidad Nacional Mayor de San Marcos		0	0	0	0	0	0	0	0	0	0	0	0
778	Universidad Técnica Federico Santa María		0	0	41.7	0	0	0	0	0	59.9	0	0	0
779	Universidad Tecnológica Nacional (UTN)		0	0	52.9	0	0	0	0	0	0	0	0	0
780	Universidade do Estado do Rio de Janeiro (UERJ)		0	0	0	0	0	0	0	0	0	0	0	0
781	Universidade Estadual de Londrina (UEL)		0	0	0	0	0	0	0	0	0	0	0	0
782	Universidade Federal de Santa Maria		0	0	0	50.7	0	0	0	0	0	0	0	0
783	Universidade Federal do Ceará (UFC)		0	0	0	0	0	0	0	0	0	0	0	0
784	Universidade Federal do Pernambuco		0	0	0	0	0	0	0	0	0	0	0	0
785	Università  Ca' Foscari Venezia 		0	0	0	0	0	0	0	0	0	0	0	53
786	Catania University		0	0	0	0	0	0	30.2	0	0	0	58.6	0
787	Università degli Studi Roma Tre		0	0	0	0	0	0	0	0	0	0	0	0
788	Université Charles-de-Gaulle Lille 3		0	0	0	0	59.1	0	0	46.6	0	0	0	0
789	Université de Caen Basse-Normandie		0	0	0	0	0	0	0	0	0	0	0	0
790	Université de Cergy-Pontoise		0	0	0	0	31.4	41.7	0	0	0	0	0	0
791	Université de Poitiers		0	0	0	0	0	49	0	0	0	0	0	0
792	Université Jean Moulin Lyon 3		0	0	0	0	29.4	52.4	0	0	0	0	0	0
793	Université Lille 2 Droit et Santé		0	0	0	0	0	0	0	0	0	53.8	0	0
794	Université Paris Ouest Nanterre La Défense		0	0	0	0	30.4	56	0	57.6	0	0	0	0
795	Université Paul-Valéry Montpellier 3		0	0	0	0	31.3	41.8	0	0	0	0	0	0
796	Université Pierre Mendès France - Grenoble 2		0	0	0	0	0	46	0	0	0	0	0	0
797	Université Stendhal Grenoble 3		0	0	0	0	41.5	63.6	0	0	0	0	0	0
798	Université Toulouse II. Le Mirail		0	0	0	0	0	66.7	0	46.5	0	0	0	0
799	Universiti Teknologi MARA - UiTM		0	0	0	0	0	0	0	0	0	0	0	0
800	University of Arkansas		0	0	0	0	0	0	0	0	0	0	0	0
801	University of Baghdad		0	0	0	61.1	0	0	0	0	0	0	0	0
802	University of Bahrain		0	0	45	0	97.1	32.7	0	0	0	0	0	0
803	University of Bari		0	0	0	0	0	0	0	0	0	0	0	0
804	University of Belgrade		0	0	0	0	0	0	0	0	0	0	0	0
805	University of Brawijaya 	3	0	0	0	0	0	0	0	0	0	0	0	0
806	University of Brescia		0	0	0	0	0	0	30.9	0	0	53.4	0	0
807	University of Bucharest		0	0	48	0	0	0	0	0	0	0	0	0
808	University of Calcutta		0	0	39.8	0	0	0	0	0	0	0	0	54.4
809	University of Central Lancashire	4	0	0	0	0	33.2	71.8	0	0	0	0	0	0
810	University of Colombo		0	0	0	0	0	0	0	0	0	0	0	0
811	University of Dhaka		0	0	51.7	0	0	0	0	0	0	0	0	0
812	University of East London		0	0	0	0	82.6	98.1	0	0	0	0	0	0
813	University of Engineering & Technology (UET) Lahore		0	0	0	0	0	0	0	0	0	0	0	0
814	University of Greenwich		0	0	0	0	74.2	96.1	0	0	0	0	0	0
815	University of Jordan	3	0	0	0	0	0	0	0	0	0	0	0	0
816	University of Karachi		0	0	0	0	0	0	0	0	0	0	0	0
817	University of Lahore		0	0	0	0	0	0	0	0	0	0	0	0
818	University of Latvia		0	0	0	0	0	0	0	0	0	0	0	0
819	University of New England 		0	0	0	0	0	0	0	41	0	0	0	0
820	University of Pune		0	0	42.6	0	0	0	0	0	0	0	0	0
821	University of San Diego		0	0	0	0	0	0	0	0	0	0	0	0
822	University of San Francisco		0	0	0	0	0	0	0	0	0	0	0	0
823	University of Santo Tomas		0	0	0	0	0	0	0	0	0	0	0	0
824	University of Southern Queensland 		0	0	0	0	0	0	0	0	0	0	0	0
825	University of the Pacific		0	0	0	49.1	0	0	0	0	0	0	0	0
826	University of Tulsa		0	0	0	45.4	0	80	0	0	0	0	0	0
827	University of Windsor		0	0	0	0	0	39.6	44.6	0	0	0	0	0
828	University of Wroclaw		0	0	0	0	0	0	0	0	0	0	0	0
829	Verona University		0	0	0	0	0	0	37.5	0	0	59.7	0	0
830	Victoria University 		0	0	0	0	0	0	0	0	0	0	0	0
831	Vilnius Gediminas Technical University	3	0	0	0	0	0	0	0	0	0	0	0	0
832	Voronezh State University		0	0	0	0	0	0	0	0	0	0	0	0
833	Vytautas Magnus University	2	0	0	0	0	0	0	0	0	0	0	0	0
834	West University of Timisoara		0	0	0	0	0	0	0	0	0	0	0	0
835	Baylor College of Medicine		0	0	0	100	0	67.3	87.6	0	0	80	0	0
836	BI Norwegian Business School		0	0	45.2	0	0	0	0	0	0	0	0	58.9
837	China Medical University Taichung		0	0	0	54.9	0	0	59.2	0	0	54.6	0	0
838	Copenhagen Business School		0	0	85.7	86.4	0	42.3	0	0	0	0	0	76
839	Cranfield University		0	0	60.9	99.8	90.7	100	0	0	68.1	0	0	59.4
840	ESADE Business School		0	0	90.6	87.7	0	45.5	0	0	0	0	0	0
841	ESCP Europe - Paris		0	0	92.9	0	100	99.8	0	0	0	0	0	0
842	ESSEC Business School. Paris		0	0	98	0	53.8	79.7	0	0	0	0	0	0
843	EBS Business School		0	0	58	0	0	62.8	0	0	0	0	0	0
844	Gwangju Institute of Science and Technology (GIST)		0	0	0	59.3	0	0	100	0	0	0	0	0
845	HEC Paris		0	0	99.7	0	100	99.1	0	0	0	0	0	74.5
846	Hitotsubashi University		0	0	64.8	0	0	31.7	0	0	0	0	0	61
847	Indian Institute of Science		0	52.7	47.9	60.9	0	0	98.7	0	71.1	0	72.1	0
848	INSEAD (France)		0	33	100	48.7	0	0	31.2	0	0	0	0	82.6
849	Jawaharlal Nehru University		0	42.5	41.7	97.9	0	0	0	0	0	0	0	58.9
850	Karolinska Institute		0	59.3	42.4	100	66.5	42.9	100	0	0	88	0	0
851	King Abdullah University of Science & Technology		0	33.4	0	66.4	0	100	88.5	0	63.4	0	57.7	0
